ID;UrunAdi;Kategori;IlgiAlani;Marka;Fiyat;YasGrubu;PopulerlikPuan
35;Columbia Outdoor Eşofman Takımı;Spor;Outdoor;Columbia;6917.23;Genc;7
36;Roland Studyo DJ Ekipmanı;Muzik;Studyo;Roland;10648.58;Yasli;7
37;Levi's Aksesuar Çanta;Moda;Aksesuar;Levi's;4659.49;Yasli;67
38;Asus Ev Ofis Bilgisayar;Teknoloji;Ev Ofis;Asus;12466.47;Yetiskin;83
39;Tefal Dekorasyon Dekoratif Lamba;Ev-Yasam;Dekorasyon;Tefal;9051.12;Genc;90
40;Decathlon Fitness Spor Çantası;Spor;Fitness;Decathlon;5221.31;Cocuk;53
41;Columbia Ekipman Koşu Ayakkabısı;Spor;Ekipman;Columbia;3934.10;Genc;14
42;Levi's Klasik Parfüm;Moda;Klasik;Levi's;2915.11;Cocuk;19
43;Corsair E-Spor Koleksiyonu;Oyun;E-Spor;Corsair;1945.82;Yetiskin;38
44;Gigabyte Retro Paketi;Oyun;Retro;Gigabyte;4842.88;Yasli;95
45;Karaca Konfor Nevresim Takımı;Ev-Yasam;Konfor;Karaca;7421.73;Yetiskin;19
46;Pioneer Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Pioneer;14630.11;Yetiskin;7
47;Fender Sahne Amfi;Muzik;Sahne;Fender;14180.06;Yasli;57
48;Canson Kirtasiye Koleksiyonu;Hobi-Sanat;Kirtasiye;Canson;4108.47;Yasli;19
49;Yapi Kredi Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Yapi Kredi;294.16;Cocuk;89
50;Spalding Outdoor Eşofman Takımı;Spor;Outdoor;Spalding;4577.66;Cocuk;46
51;Philips Dekorasyon Dekoratif Lamba;Ev-Yasam;Dekorasyon;Philips;7741.96;Yetiskin;77
52;Prismacolor El Sanatlari Paketi;Hobi-Sanat;El Sanatlari;Prismacolor;1169.75;Genc;44
53;Bosch Konfor Dekoratif Lamba;Ev-Yasam;Konfor;Bosch;10630.14;Yetiskin;32
54;Zowie E-Spor Seti;Oyun;E-Spor;Zowie;1228.38;Yetiskin;51
55;Reeves Resim Koleksiyonu;Hobi-Sanat;Resim;Reeves;3246.88;Cocuk;89
56;Sony Yazilim Tablet;Teknoloji;Yazilim;Sony;21376.55;Yetiskin;60
57;Daler Rowney Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Daler Rowney;362.65;Genc;86
58;Prismacolor El Sanatlari Seti;Hobi-Sanat;El Sanatlari;Prismacolor;4089.53;Genc;79
59;3M Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;3M;7339.98;Genc;39
60;3M Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;3M;372.60;Yetiskin;98
61;Salomon Fitness Eşofman Takımı;Spor;Fitness;Salomon;1117.30;Yetiskin;17
62;Ikea Mutfak Robot Süpürge;Ev-Yasam;Mutfak;Ikea;8835.08;Yasli;99
63;Nike Sokak Stili Gözlük;Moda;Sokak Stili;Nike;2763.98;Yetiskin;2
64;Hot Wheels Aksiyon Paketi;Oyuncak;Aksiyon;Hot Wheels;3647.64;Cocuk;25
65;Alfa Yayinlari Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Alfa Yayinlari;79.87;Yetiskin;51
66;Prada Aksesuar Parfüm;Moda;Aksesuar;Prada;3039.08;Yetiskin;75
67;HP Yazilim Tablet;Teknoloji;Yazilim;HP;14480.91;Genc;69
68;Pioneer Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Pioneer;4752.02;Yasli;99
69;Marshall Analog Pikap;Muzik;Analog;Marshall;5212.60;Yasli;66
70;SteelSeries E-Spor Paketi;Oyun;E-Spor;SteelSeries;4577.86;Yasli;95
71;Sony Yazilim Kulaklık;Teknoloji;Yazilim;Sony;31920.50;Cocuk;81
72;Bosch Konfor Kahve Makinesi;Ev-Yasam;Konfor;Bosch;1711.48;Yasli;68
73;Sennheiser Studyo DJ Ekipmanı;Muzik;Studyo;Sennheiser;11860.24;Cocuk;58
74;Arzum Mutfak Dekoratif Lamba;Ev-Yasam;Mutfak;Arzum;11300.60;Yetiskin;50
75;Reeves El Sanatlari Seti;Hobi-Sanat;El Sanatlari;Reeves;3321.80;Yasli;52
76;Yapi Kredi Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Yapi Kredi;78.43;Yetiskin;78
77;SteelSeries E-Spor Koleksiyonu;Oyun;E-Spor;SteelSeries;240.88;Cocuk;83
78;Burberry Sokak Stili Saat;Moda;Sokak Stili;Burberry;3215.07;Cocuk;36
79;Pegasus Tarih Romanı/Kitabı;Kitap;Tarih;Pegasus;136.47;Cocuk;30
80;SteelSeries Retro Paketi;Oyun;Retro;SteelSeries;4767.13;Yasli;29
81;Mizuno Ekipman Antrenman Ekipmanı;Spor;Ekipman;Mizuno;2839.40;Cocuk;38
82;Lancome Parfum Nemlendirici;Kozmetik;Parfum;Lancome;850.26;Genc;92
83;Corsair Yayincilik Koleksiyonu;Oyun;Yayincilik;Corsair;4335.52;Yasli;28
84;Dior Parfum Cilt Serumu;Kozmetik;Parfum;Dior;1762.65;Cocuk;77
85;Nivea Parfum Cilt Serumu;Kozmetik;Parfum;Nivea;1862.54;Yetiskin;7
86;Spin Master Klasik Seti;Oyuncak;Klasik;Spin Master;2445.27;Yetiskin;1
87;Ikea Konfor Kahve Makinesi;Ev-Yasam;Konfor;Ikea;3072.04;Yetiskin;29
88;Dell Yazilim Akıllı Saat;Teknoloji;Yazilim;Dell;18764.76;Yasli;32
89;Pioneer Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Pioneer;5077.39;Yetiskin;88
90;Nivea Bakim Göz Kalemi;Kozmetik;Bakim;Nivea;580.62;Yasli;96
91;Gigabyte Retro Paketi;Oyun;Retro;Gigabyte;944.60;Yasli;57
92;Everest Tarih Romanı/Kitabı;Kitap;Tarih;Everest;470.59;Cocuk;5
93;Winsor Newton Kirtasiye Koleksiyonu;Hobi-Sanat;Kirtasiye;Winsor Newton;3969.71;Cocuk;10
94;Everest Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Everest;249.30;Cocuk;5
95;Derwent Kirtasiye Paketi;Hobi-Sanat;Kirtasiye;Derwent;862.35;Yetiskin;29
96;Nintendo E-Spor Paketi;Oyun;E-Spor;Nintendo;1512.13;Genc;89
97;Iletisim Tarih Romanı/Kitabı;Kitap;Tarih;Iletisim;179.74;Yasli;17
98;Beko Konfor Nevresim Takımı;Ev-Yasam;Konfor;Beko;6379.68;Cocuk;100
99;Gibson Studyo Pikap;Muzik;Studyo;Gibson;4029.81;Cocuk;31
100;Apple Yazilim Akıllı Telefon;Teknoloji;Yazilim;Apple;22137.47;Cocuk;61
101;Clinique Parfum Göz Kalemi;Kozmetik;Parfum;Clinique;1321.98;Yetiskin;52
102;Apple Ev Ofis Kulaklık;Teknoloji;Ev Ofis;Apple;20122.01;Cocuk;83
103;HP Yazilim Bilgisayar;Teknoloji;Yazilim;HP;14546.40;Yetiskin;72
104;Logitech Retro Koleksiyonu;Oyun;Retro;Logitech;4256.95;Cocuk;4
105;Gibson Sahne Pikap;Muzik;Sahne;Gibson;22131.81;Yasli;16
106;Pebeo Kirtasiye Koleksiyonu;Hobi-Sanat;Kirtasiye;Pebeo;3157.73;Cocuk;72
107;Roland Studyo Pikap;Muzik;Studyo;Roland;17773.97;Yasli;10
108;Pioneer Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Pioneer;10611.08;Genc;1
109;Nvidia E-Spor Paketi;Oyun;E-Spor;Nvidia;4611.63;Yasli;5
110;Ikea Dekorasyon Dekoratif Lamba;Ev-Yasam;Dekorasyon;Ikea;464.09;Genc;92
111;Fisher-Price Aksiyon Paketi;Oyuncak;Aksiyon;Fisher-Price;1665.18;Yetiskin;47
112;Ikea Dekorasyon Nevresim Takımı;Ev-Yasam;Dekorasyon;Ikea;9237.30;Yasli;30
113;Gucci Aksesuar Çanta;Moda;Aksesuar;Gucci;4342.80;Yasli;4
114;Prismacolor Kirtasiye Paketi;Hobi-Sanat;Kirtasiye;Prismacolor;711.19;Genc;7
115;Fender Sahne Amfi;Muzik;Sahne;Fender;24125.31;Cocuk;65
116;Sennheiser Studyo Pikap;Muzik;Studyo;Sennheiser;24313.56;Yetiskin;63
117;Goodyear Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Goodyear;9562.48;Cocuk;37
118;Xiaomi Yazilim Kulaklık;Teknoloji;Yazilim;Xiaomi;16595.44;Yetiskin;84
119;Is Bankasi Yayinlari Tarih Romanı/Kitabı;Kitap;Tarih;Is Bankasi Yayinlari;498.85;Yasli;6
120;Nike Aksesuar Parfüm;Moda;Aksesuar;Nike;3234.84;Genc;20
121;Nvidia Yayincilik Seti;Oyun;Yayincilik;Nvidia;3678.74;Cocuk;41
122;Castelli Fitness Antrenman Ekipmanı;Spor;Fitness;Castelli;3096.27;Yetiskin;11
123;Reeves Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Reeves;4467.53;Yasli;19
124;Nivea Makyaj Nemlendirici;Kozmetik;Makyaj;Nivea;292.48;Yetiskin;76
125;Apple Ev Ofis Bilgisayar;Teknoloji;Ev Ofis;Apple;17361.31;Yasli;90
126;English Home Konfor Robot Süpürge;Ev-Yasam;Konfor;English Home;7926.60;Yetiskin;63
127;Ithaki Tarih Romanı/Kitabı;Kitap;Tarih;Ithaki;229.72;Cocuk;49
128;Hot Wheels Egitici Koleksiyonu;Oyuncak;Egitici;Hot Wheels;1312.71;Yasli;43
129;Yapi Kredi Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Yapi Kredi;344.63;Yasli;61
130;Tefal Konfor Robot Süpürge;Ev-Yasam;Konfor;Tefal;4781.07;Yasli;32
131;Adidas Sokak Stili Gözlük;Moda;Sokak Stili;Adidas;1131.77;Yetiskin;9
132;Gucci Klasik Gözlük;Moda;Klasik;Gucci;1831.59;Cocuk;18
133;Adidas Klasik Gözlük;Moda;Klasik;Adidas;3524.03;Cocuk;75
134;Madame Coco Mutfak Robot Süpürge;Ev-Yasam;Mutfak;Madame Coco;11901.56;Cocuk;5
135;Playmobil Egitici Seti;Oyuncak;Egitici;Playmobil;1907.99;Genc;58
136;LOreal Makyaj Cilt Serumu;Kozmetik;Makyaj;LOreal;1905.90;Yasli;65
137;Reeves Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Reeves;1969.19;Cocuk;6
138;Faber-Castell Resim Koleksiyonu;Hobi-Sanat;Resim;Faber-Castell;4094.16;Genc;16
139;Winsor Newton Resim Paketi;Hobi-Sanat;Resim;Winsor Newton;1457.82;Yetiskin;69
140;HyperX Retro Koleksiyonu;Oyun;Retro;HyperX;964.66;Genc;25
141;Chanel Makyaj Cilt Serumu;Kozmetik;Makyaj;Chanel;1573.85;Cocuk;75
142;Fender Sahne DJ Ekipmanı;Muzik;Sahne;Fender;17512.71;Cocuk;30
143;Castelli Ekipman Antrenman Ekipmanı;Spor;Ekipman;Castelli;1826.65;Genc;88
144;Spalding Ekipman Spor Çantası;Spor;Ekipman;Spalding;4431.94;Yasli;89
145;Columbia Ekipman Spor Çantası;Spor;Ekipman;Columbia;2511.43;Yetiskin;57
146;Reebok Outdoor Spor Çantası;Spor;Outdoor;Reebok;1720.19;Yetiskin;49
147;Razer Yayincilik Paketi;Oyun;Yayincilik;Razer;2821.97;Yasli;78
148;Prada Aksesuar Saat;Moda;Aksesuar;Prada;4773.77;Genc;74
149;Melissa Doug Egitici Koleksiyonu;Oyuncak;Egitici;Melissa Doug;2245.68;Cocuk;96
150;Sephora Bakim Ruj;Kozmetik;Bakim;Sephora;1684.78;Yetiskin;4
151;Gigabyte E-Spor Koleksiyonu;Oyun;E-Spor;Gigabyte;4313.18;Yasli;79
152;Pegasus Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Pegasus;482.54;Yetiskin;39
153;Gibson Studyo Pikap;Muzik;Studyo;Gibson;16618.61;Genc;74
154;Puma Klasik Çanta;Moda;Klasik;Puma;1408.38;Yetiskin;93
155;Corsair E-Spor Seti;Oyun;E-Spor;Corsair;4967.85;Cocuk;44
156;Arzum Mutfak Nevresim Takımı;Ev-Yasam;Mutfak;Arzum;1120.33;Yasli;53
157;LG Yazilim Kulaklık;Teknoloji;Yazilim;LG;32872.14;Cocuk;93
158;MGA Entertainment Egitici Koleksiyonu;Oyuncak;Egitici;MGA Entertainment;4557.26;Cocuk;81
159;Castelli Outdoor Eşofman Takımı;Spor;Outdoor;Castelli;808.17;Yetiskin;43
160;Philips Konfor Dekoratif Lamba;Ev-Yasam;Konfor;Philips;2018.44;Genc;80
161;Burberry Klasik Çanta;Moda;Klasik;Burberry;3779.13;Cocuk;53
162;Philips Mutfak Nevresim Takımı;Ev-Yasam;Mutfak;Philips;7637.28;Yasli;52
163;Spalding Outdoor Eşofman Takımı;Spor;Outdoor;Spalding;3397.67;Genc;61
164;Castelli Fitness Antrenman Ekipmanı;Spor;Fitness;Castelli;1720.96;Yasli;84
165;Apple Mobil Yasam Bilgisayar;Teknoloji;Mobil Yasam;Apple;42384.94;Genc;71
166;MAC Bakim Cilt Serumu;Kozmetik;Bakim;MAC;220.47;Yasli;73
167;Nivea Parfum Cilt Serumu;Kozmetik;Parfum;Nivea;1695.42;Yasli;23
168;JBL Sahne Pikap;Muzik;Sahne;JBL;24146.77;Yetiskin;11
169;Razer Retro Koleksiyonu;Oyun;Retro;Razer;298.09;Genc;34
170;Beko Dekorasyon Dekoratif Lamba;Ev-Yasam;Dekorasyon;Beko;11857.55;Yetiskin;9
171;Fisher-Price Aksiyon Koleksiyonu;Oyuncak;Aksiyon;Fisher-Price;2615.27;Yetiskin;76
172;Metis Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Metis;498.68;Yasli;10
173;Asus Mobil Yasam Bilgisayar;Teknoloji;Mobil Yasam;Asus;5772.18;Genc;16
174;Is Bankasi Yayinlari Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Is Bankasi Yayinlari;195.95;Genc;24
175;Iletisim Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Iletisim;439.32;Yetiskin;44
176;Nike Sokak Stili Gözlük;Moda;Sokak Stili;Nike;2213.53;Yetiskin;40
177;JBL Studyo Amfi;Muzik;Studyo;JBL;7406.76;Genc;8
178;Casio Analog Pikap;Muzik;Analog;Casio;12237.08;Yasli;68
179;Apple Ev Ofis Bilgisayar;Teknoloji;Ev Ofis;Apple;32558.53;Yasli;91
180;Michelin Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Michelin;10699.84;Cocuk;44
181;Beko Konfor Dekoratif Lamba;Ev-Yasam;Konfor;Beko;5731.97;Yetiskin;85
182;Maybelline Makyaj Göz Kalemi;Kozmetik;Makyaj;Maybelline;216.62;Yetiskin;86
183;Everest Tarih Romanı/Kitabı;Kitap;Tarih;Everest;194.24;Yasli;52
184;Clinique Bakim Ruj;Kozmetik;Bakim;Clinique;860.95;Genc;51
185;Mizuno Ekipman Spor Çantası;Spor;Ekipman;Mizuno;3465.28;Cocuk;26
186;Faber-Castell Resim Seti;Hobi-Sanat;Resim;Faber-Castell;2902.50;Cocuk;58
187;Gibson Studyo Pikap;Muzik;Studyo;Gibson;17278.86;Yetiskin;69
188;Derwent El Sanatlari Seti;Hobi-Sanat;El Sanatlari;Derwent;3846.26;Genc;53
189;Spin Master Aksiyon Seti;Oyuncak;Aksiyon;Spin Master;4369.70;Yetiskin;98
190;Roland Analog Enstrüman;Muzik;Analog;Roland;6351.86;Genc;100
191;Sennheiser Studyo DJ Ekipmanı;Muzik;Studyo;Sennheiser;11207.44;Yetiskin;69
192;Bosch Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Bosch;717.03;Yasli;83
193;Hasbro Klasik Koleksiyonu;Oyuncak;Klasik;Hasbro;4491.41;Yetiskin;90
194;Can Yayinlari Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Can Yayinlari;467.65;Yetiskin;3
195;Logitech Yayincilik Seti;Oyun;Yayincilik;Logitech;4821.99;Yetiskin;1
196;Dior Makyaj Göz Kalemi;Kozmetik;Makyaj;Dior;1313.19;Yasli;50
197;Prismacolor El Sanatlari Seti;Hobi-Sanat;El Sanatlari;Prismacolor;2387.06;Yasli;9
198;Logitech E-Spor Koleksiyonu;Oyun;E-Spor;Logitech;4552.34;Genc;66
199;Fisher-Price Klasik Paketi;Oyuncak;Klasik;Fisher-Price;2485.03;Yetiskin;51
200;Tefal Konfor Robot Süpürge;Ev-Yasam;Konfor;Tefal;8940.40;Cocuk;79
201;Under Armour Fitness Antrenman Ekipmanı;Spor;Fitness;Under Armour;4756.78;Genc;46
202;Roland Sahne Amfi;Muzik;Sahne;Roland;19069.02;Yasli;45
203;Goodyear Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Goodyear;13717.45;Genc;35
204;Beko Mutfak Dekoratif Lamba;Ev-Yasam;Mutfak;Beko;10226.43;Yetiskin;61
205;Apple Yazilim Tablet;Teknoloji;Yazilim;Apple;12834.64;Yasli;36
206;Spin Master Aksiyon Paketi;Oyuncak;Aksiyon;Spin Master;4877.54;Cocuk;92
207;Adidas Sokak Stili Gözlük;Moda;Sokak Stili;Adidas;3704.07;Cocuk;16
208;Lenovo Ev Ofis Kulaklık;Teknoloji;Ev Ofis;Lenovo;13812.18;Yetiskin;13
209;Derwent El Sanatlari Koleksiyonu;Hobi-Sanat;El Sanatlari;Derwent;2423.50;Genc;68
210;Yapi Kredi Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Yapi Kredi;210.30;Yasli;90
211;HP Mobil Yasam Kulaklık;Teknoloji;Mobil Yasam;HP;15773.39;Yasli;63
212;Lenovo Yazilim Akıllı Saat;Teknoloji;Yazilim;Lenovo;12039.32;Yetiskin;80
213;Gigabyte E-Spor Paketi;Oyun;E-Spor;Gigabyte;544.80;Yetiskin;44
214;Gigabyte Yayincilik Paketi;Oyun;Yayincilik;Gigabyte;458.30;Cocuk;86
215;Adidas Sokak Stili Gözlük;Moda;Sokak Stili;Adidas;5826.93;Yasli;12
216;Nivea Bakim Ruj;Kozmetik;Bakim;Nivea;793.55;Genc;84
217;Beko Dekorasyon Robot Süpürge;Ev-Yasam;Dekorasyon;Beko;9073.72;Cocuk;90
218;Nike Klasik Ceket;Moda;Klasik;Nike;3842.16;Yasli;24
219;Asus Mobil Yasam Kulaklık;Teknoloji;Mobil Yasam;Asus;11415.56;Cocuk;76
220;Dell Yazilim Tablet;Teknoloji;Yazilim;Dell;7500.49;Cocuk;77
221;Pebeo Resim Koleksiyonu;Hobi-Sanat;Resim;Pebeo;3608.21;Genc;53
222;Asus Mobil Yasam Akıllı Saat;Teknoloji;Mobil Yasam;Asus;14728.03;Yetiskin;52
223;Levi's Sokak Stili Ceket;Moda;Sokak Stili;Levi's;2787.04;Genc;75
224;MSI Retro Seti;Oyun;Retro;MSI;2412.53;Genc;25
225;Castrol Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Castrol;4056.24;Yetiskin;31
226;3M Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;3M;10437.94;Genc;72
227;Tefal Dekorasyon Robot Süpürge;Ev-Yasam;Dekorasyon;Tefal;4594.74;Cocuk;27
228;Gigabyte Yayincilik Seti;Oyun;Yayincilik;Gigabyte;3103.18;Cocuk;58
229;Marshall Analog DJ Ekipmanı;Muzik;Analog;Marshall;24149.06;Yasli;63
230;Bridgestone Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Bridgestone;9652.59;Genc;63
231;LOreal Makyaj Nemlendirici;Kozmetik;Makyaj;LOreal;1104.61;Cocuk;12
232;Burberry Klasik Saat;Moda;Klasik;Burberry;1938.30;Cocuk;52
233;SteelSeries Yayincilik Koleksiyonu;Oyun;Yayincilik;SteelSeries;1721.22;Genc;30
234;Mattel Klasik Koleksiyonu;Oyuncak;Klasik;Mattel;1508.10;Cocuk;4
235;Yapi Kredi Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Yapi Kredi;171.84;Cocuk;30
236;Spalding Outdoor Spor Çantası;Spor;Outdoor;Spalding;7182.08;Cocuk;5
237;Tefal Dekorasyon Nevresim Takımı;Ev-Yasam;Dekorasyon;Tefal;4086.97;Cocuk;22
238;Nivea Makyaj Cilt Serumu;Kozmetik;Makyaj;Nivea;872.20;Yasli;6
239;HyperX Retro Seti;Oyun;Retro;HyperX;2704.71;Yasli;10
240;Pegasus Tarih Romanı/Kitabı;Kitap;Tarih;Pegasus;110.69;Cocuk;14
241;Asus Yazilim Akıllı Saat;Teknoloji;Yazilim;Asus;32199.64;Genc;100
242;Daler Rowney Resim Koleksiyonu;Hobi-Sanat;Resim;Daler Rowney;3759.18;Yetiskin;56
243;SteelSeries Yayincilik Seti;Oyun;Yayincilik;SteelSeries;4170.05;Genc;78
244;Apple Ev Ofis Bilgisayar;Teknoloji;Ev Ofis;Apple;41150.39;Yetiskin;57
245;Mattel Klasik Seti;Oyuncak;Klasik;Mattel;1492.60;Cocuk;50
246;Levi's Aksesuar Çanta;Moda;Aksesuar;Levi's;3470.86;Yetiskin;80
247;Spin Master Klasik Paketi;Oyuncak;Klasik;Spin Master;3045.13;Yetiskin;64
248;Estee Lauder Makyaj Cilt Serumu;Kozmetik;Makyaj;Estee Lauder;728.99;Yasli;92
249;Nvidia E-Spor Koleksiyonu;Oyun;E-Spor;Nvidia;2056.31;Yetiskin;74
250;Pegasus Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Pegasus;484.84;Genc;33
251;Audio-Technica Studyo Enstrüman;Muzik;Studyo;Audio-Technica;24261.57;Cocuk;63
252;Estee Lauder Bakim Göz Kalemi;Kozmetik;Bakim;Estee Lauder;434.44;Genc;29
253;Yapi Kredi Tarih Romanı/Kitabı;Kitap;Tarih;Yapi Kredi;241.07;Yasli;40
254;Castelli Ekipman Antrenman Ekipmanı;Spor;Ekipman;Castelli;7228.82;Genc;89
255;Meguiars Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Meguiars;5428.04;Genc;23
256;Philips Dekorasyon Nevresim Takımı;Ev-Yasam;Dekorasyon;Philips;7055.69;Yetiskin;67
257;Maybelline Makyaj Nemlendirici;Kozmetik;Makyaj;Maybelline;1836.14;Yasli;89
258;JBL Analog Enstrüman;Muzik;Analog;JBL;5284.75;Genc;78
259;Lacoste Aksesuar Parfüm;Moda;Aksesuar;Lacoste;3053.69;Yetiskin;10
260;Yamaha Studyo Amfi;Muzik;Studyo;Yamaha;11489.84;Yetiskin;90
261;Beko Mutfak Dekoratif Lamba;Ev-Yasam;Mutfak;Beko;4074.26;Genc;78
262;Mattel Klasik Seti;Oyuncak;Klasik;Mattel;3288.17;Yasli;59
263;Nvidia E-Spor Seti;Oyun;E-Spor;Nvidia;2703.28;Cocuk;66
264;Sparco Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Sparco;5339.09;Genc;26
265;Estee Lauder Bakim Ruj;Kozmetik;Bakim;Estee Lauder;1842.17;Genc;16
266;HyperX Yayincilik Seti;Oyun;Yayincilik;HyperX;3673.62;Cocuk;39
267;Levi's Sokak Stili Parfüm;Moda;Sokak Stili;Levi's;1262.38;Yasli;29
268;Canson Resim Seti;Hobi-Sanat;Resim;Canson;2469.88;Yetiskin;42
269;LOreal Makyaj Cilt Serumu;Kozmetik;Makyaj;LOreal;1158.53;Yetiskin;100
270;Pioneer Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Pioneer;12795.16;Yasli;73
271;Alfa Yayinlari Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Alfa Yayinlari;246.51;Genc;66
272;Gigabyte Yayincilik Seti;Oyun;Yayincilik;Gigabyte;297.12;Genc;4
273;Puma Klasik Çanta;Moda;Klasik;Puma;4526.53;Yasli;41
274;Salomon Fitness Spor Çantası;Spor;Fitness;Salomon;778.81;Genc;59
275;Apple Yazilim Bilgisayar;Teknoloji;Yazilim;Apple;40076.67;Yetiskin;47
